rf	rfcat	sex	age	risk28
"htdiag_or_highbp"	0	0	1	.9999158
"htdiag_or_highbp"	1	0	1	.9994269
"htdiag_or_highbp"	0	1	1	.9999158
"htdiag_or_highbp"	1	1	1	.9994269
"htdiag_or_highbp"	0	0	2	.9999158
"htdiag_or_highbp"	1	0	2	.9994269
"htdiag_or_highbp"	0	1	2	.9999158
"htdiag_or_highbp"	1	1	2	.9994269
"htdiag_or_highbp"	0	0	3	.9999158
"htdiag_or_highbp"	1	0	3	.9994269
"htdiag_or_highbp"	0	1	3	.9999158
"htdiag_or_highbp"	1	1	3	.9994269
"htdiag_or_highbp"	0	0	4	.9999158
"htdiag_or_highbp"	1	0	4	.9994269
"htdiag_or_highbp"	0	1	4	.9999158
"htdiag_or_highbp"	1	1	4	.9994269
"htdiag_or_highbp"	0	0	5	.9999158
"htdiag_or_highbp"	1	0	5	.9994269
"htdiag_or_highbp"	0	1	5	.9999158
"htdiag_or_highbp"	1	1	5	.9994269
"htdiag_or_highbp"	0	0	6	.9999158
"htdiag_or_highbp"	1	0	6	.9994269
"htdiag_or_highbp"	0	1	6	.9999158
"htdiag_or_highbp"	1	1	6	.9994269
"respiratory_disease"	0	0	1	.9998106
"respiratory_disease"	1	0	1	.9984126
"respiratory_disease"	0	1	1	.9998106
"respiratory_disease"	1	1	1	.9984126
"respiratory_disease"	0	0	2	.9998106
"respiratory_disease"	1	0	2	.9984126
"respiratory_disease"	0	1	2	.9998106
"respiratory_disease"	1	1	2	.9984126
"respiratory_disease"	0	0	3	.9998106
"respiratory_disease"	1	0	3	.9984126
"respiratory_disease"	0	1	3	.9998106
"respiratory_disease"	1	1	3	.9984126
"respiratory_disease"	0	0	4	.9998106
"respiratory_disease"	1	0	4	.9984126
"respiratory_disease"	0	1	4	.9998106
"respiratory_disease"	1	1	4	.9984126
"respiratory_disease"	0	0	5	.9998106
"respiratory_disease"	1	0	5	.9984126
"respiratory_disease"	0	1	5	.9998106
"respiratory_disease"	1	1	5	.9984126
"respiratory_disease"	0	0	6	.9998106
"respiratory_disease"	1	0	6	.9984126
"respiratory_disease"	0	1	6	.9998106
"respiratory_disease"	1	1	6	.9984126
"cardiac_disease"	0	0	1	.9998492
"cardiac_disease"	1	0	1	.9984831
"cardiac_disease"	0	1	1	.9998492
"cardiac_disease"	1	1	1	.9984831
"cardiac_disease"	0	0	2	.9998492
"cardiac_disease"	1	0	2	.9984831
"cardiac_disease"	0	1	2	.9998492
"cardiac_disease"	1	1	2	.9984831
"cardiac_disease"	0	0	3	.9998492
"cardiac_disease"	1	0	3	.9984831
"cardiac_disease"	0	1	3	.9998492
"cardiac_disease"	1	1	3	.9984831
"cardiac_disease"	0	0	4	.9998492
"cardiac_disease"	1	0	4	.9984831
"cardiac_disease"	0	1	4	.9998492
"cardiac_disease"	1	1	4	.9984831
"cardiac_disease"	0	0	5	.9998492
"cardiac_disease"	1	0	5	.9984831
"cardiac_disease"	0	1	5	.9998492
"cardiac_disease"	1	1	5	.9984831
"cardiac_disease"	0	0	6	.9998492
"cardiac_disease"	1	0	6	.9984831
"cardiac_disease"	0	1	6	.9998492
"cardiac_disease"	1	1	6	.9984831
"chronic_liver_disease"	0	0	1	.9997454
"chronic_liver_disease"	1	0	1	.9989874
"chronic_liver_disease"	0	1	1	.9997454
"chronic_liver_disease"	1	1	1	.9989874
"chronic_liver_disease"	0	0	2	.9997454
"chronic_liver_disease"	1	0	2	.9989874
"chronic_liver_disease"	0	1	2	.9997454
"chronic_liver_disease"	1	1	2	.9989874
"chronic_liver_disease"	0	0	3	.9997454
"chronic_liver_disease"	1	0	3	.9989874
"chronic_liver_disease"	0	1	3	.9997454
"chronic_liver_disease"	1	1	3	.9989874
"chronic_liver_disease"	0	0	4	.9997454
"chronic_liver_disease"	1	0	4	.9989874
"chronic_liver_disease"	0	1	4	.9997454
"chronic_liver_disease"	1	1	4	.9989874
"chronic_liver_disease"	0	0	5	.9997454
"chronic_liver_disease"	1	0	5	.9989874
"chronic_liver_disease"	0	1	5	.9997454
"chronic_liver_disease"	1	1	5	.9989874
"chronic_liver_disease"	0	0	6	.9997454
"chronic_liver_disease"	1	0	6	.9989874
"chronic_liver_disease"	0	1	6	.9997454
"chronic_liver_disease"	1	1	6	.9989874
"stroke_dementia"	0	0	1	.999797
"stroke_dementia"	1	0	1	.9977218
"stroke_dementia"	0	1	1	.999797
"stroke_dementia"	1	1	1	.9977218
"stroke_dementia"	0	0	2	.999797
