17420594 (100.0)	5707 (0.0)


5973929 (34.3)	40 (0.0)
2871926 (16.5)	93 (0.0)
3067705 (17.6)	355 (0.0)
2406148 (13.8)	698 (0.0)
1952091 (11.2)	1568 (0.1)
1148795 (6.6)	2953 (0.3)


8726918 (50.1)	2112 (0.0)
8693676 (49.9)	3595 (0.0)


314161 (1.8)	162 (0.1)
4812116 (27.6)	1478 (0.0)
4727688 (27.1)	1669 (0.0)
2405886 (13.8)	1169 (0.0)
930210 (5.3)	469 (0.1)
467049 (2.7)	258 (0.1)
3763484 (21.6)	502 (0.0)


8001135 (45.9)	1738 (0.0)
5726055 (32.9)	3543 (0.1)
2964619 (17.0)	396 (0.0)
728785 (4.2)	30 (0.0)


10958443 (62.9)	3616 (0.0)
171391 (1.0)	39 (0.0)
1029154 (5.9)	372 (0.0)
342349 (2.0)	157 (0.0)
322016 (1.8)	61 (0.0)
4597241 (26.4)	1462 (0.0)


3501112 (20.1)	950 (0.0)
3478439 (20.0)	1052 (0.0)
3483205 (20.0)	1096 (0.0)
3479518 (20.0)	1253 (0.0)
3342741 (19.2)	1323 (0.0)
135579 (0.8)	33 (0.0)


3857068 (22.1)	1178 (0.0)
2503613 (14.4)	970 (0.0)
5569261 (32.0)	1831 (0.0)
3754995 (21.6)	1716 (0.0)
1735657 (10.0)	12 (0.0)

5957465 (34.2)	4231 (0.1)


711513 (4.1)	1282 (0.2)

295767 (1.7)	199 (0.1)
2477001 (14.2)	712 (0.0)
1180498 (6.8)	2055 (0.2)

476966 (2.7)	777 (0.2)
1035074 (5.9)	1362 (0.1)
219991 (1.3)	249 (0.1)

82148 (0.5)	107 (0.1)
237345 (1.4)	248 (0.1)
547714 (3.1)	559 (0.1)

8859 (0.1)	27 (0.3)
28115 (0.2)	80 (0.3)
64128 (0.4)	102 (0.2)
114823 (0.7)	112 (0.1)
377652 (2.2)	1011 (0.3)
172970 (1.0)	314 (0.2)
1095009 (6.3)	2533 (0.2)
20207 (0.1)	49 (0.2)
28231 (0.2)	23 (0.1)
886315 (5.1)	532 (0.1)
280149 (1.6)	36 (0.0)
