agegroup	male	ethnicity	var	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
1	0	1	"N"	.17555	.1127	.07245	.2158	.0833	.007	.0612	.1484	.0317	.0919
1	0	1	"asthmacat_2"	0	.1805679	.1932367	.1802595	.2226891	0	1	.1819407	.0031546	.1213275
1	0	1	"asthmacat_3"	.0074053	.0133097	.0303658	.0176089	.0204082	.1357143	0	.0215633	.0299685	.0152339
1	0	1	"cancer_exhaem_cat_2"	.0002848	.0004437	.0006901	.0006951	.002401	0	.001634	.0003369	.0031546	.0005441
1	0	1	"cancer_exhaem_cat_3"	.0017089	.0017746	.0027605	.0011585	.0012005	0	0	.0037062	.0031546	.0027203
1	0	1	"cancer_exhaem_cat_4"	.0017089	.0039929	.0027605	.0032437	.0042017	0	.001634	.0030323	.0047319	.0070729
1	0	1	"cancer_haem_cat_2"	0	.0004437	0	.0002317	0	0	0	.0003369	0	0
1	0	1	"cancer_haem_cat_3"	.0002848	.0008873	0	.0002317	0	0	0	.0003369	0	0
1	0	1	"cancer_haem_cat_4"	.0002848	.0026619	.0006901	.0016219	.0012005	0	.000817	.0016846	.0031546	.0016322
1	0	1	"chronic_cardiac_disease"	.0017089	.0035492	.0089717	.0071826	.0060024	.05	.0106209	.0080863	.0094637	.0048966
1	0	1	"chronic_liver_disease"	.0002848	0	.0034507	.0009268	.0048019	.0071429	0	.0013477	0	0
1	0	1	"chronic_respiratory_disease"	.0014241	.001331	.0048309	.0034754	.0042017	.0285714	.004902	.004717	.0015773	.0021763
1	0	1	"diabcat_2"	.0037026	.0044366	.0034507	.0062558	.0042017	.0142857	.0098039	.0053908	.011041	.0038085
1	0	1	"diabcat_3"	.0017089	.0026619	.0069013	.0062558	.0060024	0	.004085	.009097	.011041	.0038085
1	0	1	"diabcat_4"	.0014241	.0031056	.0075914	.0060241	.0054022	.0285714	.004085	.0050539	.011041	.0059848
1	0	1	"htdiag_or_highbp"	0	.0629991	.089717	.0780816	.0780312	.1142857	.0808824	.0896226	.4384858	.0642002
1	0	1	"imd_2"	0	1	0	0	.345138	0	0	0	0	.5805223
1	0	1	"imd_3"	.6357163	0	0	0	.4321729	0	.5057189	0	.637224	.0054407
1	0	1	"imd_4"	0	0	0	1	0	0	0	0	0	0
1	0	1	"imd_5"	0	0	1	0	0	0	0	.9935984	0	0
1	0	1	"obese4cat_2"	0	.0865129	.1428571	.1130677	.1206483	0	.1119281	.1307278	.6687697	.1060936
1	0	1	"obese4cat_3"	.0290516	.0408163	.0814355	.0625579	.0588235	.4285714	.0612745	.069407	.0252366	.0505985
1	0	1	"obese4cat_4"	.0156651	.0288376	.0510697	.0412419	.0378151	.0071429	.0416667	.0559299	.0410095	.0342764
1	0	1	"organ_transplant"	0	.0004437	.0006901	.0002317	0	.0071429	0	.0013477	.0015773	.0005441
1	0	1	"other_immunosuppression"	.0324694	.0408163	.0517598	.0458758	.0534214	.0357143	.0547386	.0468329	.0709779	.14037
