rf	rfcat	sex	age	risk30	risk60	risk80
"htdiag_or_highbp"	0	0	1	2.15e-11	1.11e-06	5.13e-06
"htdiag_or_highbp"	1	0	1	3.30e-11	1.71e-06	7.87e-06
"htdiag_or_highbp"	0	1	1	3.70e-11	1.91e-06	8.83e-06
"htdiag_or_highbp"	1	1	1	5.49e-11	2.84e-06	.0000131
"htdiag_or_highbp"	0	0	2	9.16e-11	4.73e-06	.0000218
"htdiag_or_highbp"	1	0	2	1.30e-10	6.69e-06	.0000309
"htdiag_or_highbp"	0	1	2	1.68e-10	8.67e-06	.00004
"htdiag_or_highbp"	1	1	2	2.23e-10	.0000115	.0000531
"htdiag_or_highbp"	0	0	3	2.43e-10	.0000126	.000058
"htdiag_or_highbp"	1	0	3	3.47e-10	.0000179	.0000828
"htdiag_or_highbp"	0	1	3	4.73e-10	.0000244	.0001127
"htdiag_or_highbp"	1	1	3	6.50e-10	.0000336	.0001551
"htdiag_or_highbp"	0	0	4	6.32e-10	.0000327	.0001508
"htdiag_or_highbp"	1	0	4	9.30e-10	.000048	.0002217
"htdiag_or_highbp"	0	1	4	1.31e-09	.0000676	.0003121
"htdiag_or_highbp"	1	1	4	1.88e-09	.0000971	.000448
"htdiag_or_highbp"	0	0	5	1.59e-09	.0000823	.0003799
"htdiag_or_highbp"	1	0	5	2.32e-09	.00012	.0005537
"htdiag_or_highbp"	0	1	5	3.58e-09	.000185	.0008539
"htdiag_or_highbp"	1	1	5	4.97e-09	.0002566	.0011833
"htdiag_or_highbp"	0	0	6	5.64e-09	.0002911	.0013424
"htdiag_or_highbp"	1	0	6	7.54e-09	.0003894	.0017949
"htdiag_or_highbp"	0	1	6	1.21e-08	.0006223	.0028655
"htdiag_or_highbp"	1	1	6	1.57e-08	.0008096	.0037225
"respiratory_disease"	0	0	1	2.22e-11	1.15e-06	5.30e-06
"respiratory_disease"	1	0	1	6.00e-11	3.10e-06	.0000143
"respiratory_disease"	0	1	1	3.89e-11	2.01e-06	9.27e-06
"respiratory_disease"	1	1	1	9.81e-11	5.07e-06	.0000234
"respiratory_disease"	0	0	2	9.70e-11	5.01e-06	.0000231
"respiratory_disease"	1	0	2	2.54e-10	.0000131	.0000606
"respiratory_disease"	0	1	2	1.80e-10	9.28e-06	.0000428
"respiratory_disease"	1	1	2	4.44e-10	.0000229	.0001059
"respiratory_disease"	0	0	3	2.65e-10	.0000137	.0000631
"respiratory_disease"	1	0	3	6.74e-10	.0000348	.0001608
"respiratory_disease"	0	1	3	5.23e-10	.000027	.0001248
"respiratory_disease"	1	1	3	1.30e-09	.0000671	.0003096
"respiratory_disease"	0	0	4	7.04e-10	.0000363	.0001678
"respiratory_disease"	1	0	4	1.75e-09	.0000903	.0004167
"respiratory_disease"	0	1	4	1.47e-09	.0000757	.0003496
"respiratory_disease"	1	1	4	3.65e-09	.0001887	.0008707
"respiratory_disease"	0	0	5	1.79e-09	.0000925	.0004268
"respiratory_disease"	1	0	5	4.34e-09	.0002242	.0010343
"respiratory_disease"	0	1	5	3.82e-09	.0001974	.000911
"respiratory_disease"	1	1	5	9.08e-09	.0004688	.0021601
"respiratory_disease"	0	0	6	6.40e-09	.0003303	.001523
"respiratory_disease"	1	0	6	1.30e-08	.0006696	.003083
"respiratory_disease"	0	1	6	1.26e-08	.0006522	.0030024
"respiratory_disease"	1	1	6	2.58e-08	.0013326	.0061161
"cardiac_disease"	0	0	1	2.23e-11	1.15e-06	5.31e-06
"cardiac_disease"	1	0	1	3.48e-11	1.80e-06	8.31e-06
"cardiac_disease"	0	1	1	3.89e-11	2.01e-06	9.28e-06
"cardiac_disease"	1	1	1	6.57e-11	3.39e-06	.0000157
"cardiac_disease"	0	0	2	9.76e-11	5.04e-06	.0000233
"cardiac_disease"	1	0	2	2.04e-10	.0000105	.0000487
"cardiac_disease"	0	1	2	1.79e-10	9.23e-06	.0000426
"cardiac_disease"	1	1	2	3.75e-10	.0000194	.0000894
"cardiac_disease"	0	0	3	2.68e-10	.0000139	.0000641
"cardiac_disease"	1	0	3	6.13e-10	.0000317	.0001463
"cardiac_disease"	0	1	3	5.13e-10	.0000265	.0001225
"cardiac_disease"	1	1	3	1.09e-09	.0000563	.0002598
"cardiac_disease"	0	0	4	7.18e-10	.0000371	.0001712
"cardiac_disease"	1	0	4	1.68e-09	.0000865	.0003994
"cardiac_disease"	0	1	4	1.42e-09	.0000735	.0003392
"cardiac_disease"	1	1	4	2.96e-09	.0001529	.0007053
"cardiac_disease"	0	0	5	1.80e-09	.0000929	.0004287
"cardiac_disease"	1	0	5	3.96e-09	.0002043	.0009423
"cardiac_disease"	0	1	5	3.67e-09	.0001896	.0008749
"cardiac_disease"	1	1	5	7.25e-09	.0003744	.0017257
"cardiac_disease"	0	0	6	5.81e-09	.0002998	.0013824
"cardiac_disease"	1	0	6	1.10e-08	.0005666	.0026095
"cardiac_disease"	0	1	6	1.15e-08	.0005949	.0027391
"cardiac_disease"	1	1	6	2.02e-08	.0010405	.0047807
"chronic_liver_disease"	0	0	1	2.23e-11	1.15e-06	5.31e-06
"chronic_liver_disease"	1	0	1	6.21e-11	3.21e-06	.0000148
"chronic_liver_disease"	0	1	1	3.89e-11	2.01e-06	9.28e-06
"chronic_liver_disease"	1	1	1	1.13e-10	5.83e-06	.0000269
"chronic_liver_disease"	0	0	2	9.82e-11	5.07e-06	.0000234
"chronic_liver_disease"	1	0	2	2.28e-10	.0000118	.0000543
"chronic_liver_disease"	0	1	2	1.81e-10	9.35e-06	.0000432
"chronic_liver_disease"	1	1	2	4.14e-10	.0000214	.0000987
"chronic_liver_disease"	0	0	3	2.76e-10	.0000143	.0000658
"chronic_liver_disease"	1	0	3	6.79e-10	.0000351	.0001619
"chronic_liver_disease"	0	1	3	5.40e-10	.0000279	.0001288
"chronic_liver_disease"	1	1	3	1.35e-09	.0000695	.0003211
"chronic_liver_disease"	0	0	4	7.68e-10	.0000397	.0001832
"chronic_liver_disease"	1	0	4	2.07e-09	.0001071	.0004941
"chronic_liver_disease"	0	1	4	1.60e-09	.0000825	.0003809
"chronic_liver_disease"	1	1	4	4.34e-09	.000224	.0010325
"chronic_liver_disease"	0	0	5	2.05e-09	.000106	.0004892
"chronic_liver_disease"	1	0	5	4.85e-09	.0002505	.001155
"chronic_liver_disease"	0	1	5	4.46e-09	.0002303	.0010621
"chronic_liver_disease"	1	1	5	1.06e-08	.0005493	.002528
"chronic_liver_disease"	0	0	6	7.16e-09	.0003696	.0017035
"chronic_liver_disease"	1	0	6	1.35e-08	.0006971	.0032077
"chronic_liver_disease"	0	1	6	1.48e-08	.0007617	.0035034
"chronic_liver_disease"	1	1	6	2.82e-08	.0014523	.0066534
"stroke_dementia"	0	0	1	2.23e-11	1.15e-06	5.31e-06
"stroke_dementia"	1	0	1	7.03e-11	3.63e-06	.0000168
"stroke_dementia"	0	1	1	3.90e-11	2.01e-06	9.30e-06
"stroke_dementia"	1	1	1	1.10e-10	5.70e-06	.0000263
"stroke_dementia"	0	0	2	9.80e-11	5.06e-06	.0000234
"stroke_dementia"	1	0	2	2.85e-10	.0000147	.000068
"stroke_dementia"	0	1	2	1.81e-10	9.36e-06	.0000432
"stroke_dementia"	1	1	2	5.28e-10	.0000273	.0001259
"stroke_dementia"	0	0	3	2.73e-10	.0000141	.0000651
"stroke_dementia"	1	0	3	8.71e-10	.000045	.0002077
"stroke_dementia"	0	1	3	5.34e-10	.0000276	.0001275
"stroke_dementia"	1	1	3	1.61e-09	.0000832	.0003842
"stroke_dementia"	0	0	4	7.47e-10	.0000386	.0001781
"stroke_dementia"	1	0	4	2.38e-09	.0001229	.000567
"stroke_dementia"	0	1	4	1.54e-09	.0000796	.0003674
"stroke_dementia"	1	1	4	4.44e-09	.0002292	.0010571
"stroke_dementia"	0	0	5	1.92e-09	.0000994	.0004586
"stroke_dementia"	1	0	5	5.33e-09	.0002751	.0012686
"stroke_dementia"	0	1	5	4.10e-09	.0002119	.0009778
"stroke_dementia"	1	1	5	1.06e-08	.0005449	.0025094
"stroke_dementia"	0	0	6	6.26e-09	.0003233	.0014909
"stroke_dementia"	1	0	6	1.40e-08	.000723	.003328
"stroke_dementia"	0	1	6	1.28e-08	.0006622	.0030483
"stroke_dementia"	1	1	6	2.78e-08	.0014324	.0065709
"other_neuro"	0	0	1	2.21e-11	1.14e-06	5.28e-06
"other_neuro"	1	0	1	6.58e-11	3.40e-06	.0000157
"other_neuro"	0	1	1	3.88e-11	2.01e-06	9.26e-06
"other_neuro"	1	1	1	1.01e-10	5.22e-06	.0000241
"other_neuro"	0	0	2	9.75e-11	5.04e-06	.0000233
"other_neuro"	1	0	2	2.68e-10	.0000138	.0000639
"other_neuro"	0	1	2	1.81e-10	9.36e-06	.0000432
"other_neuro"	1	1	2	4.99e-10	.0000258	.0001189
"other_neuro"	0	0	3	2.73e-10	.0000141	.0000652
"other_neuro"	1	0	3	7.74e-10	.00004	.0001847
"other_neuro"	0	1	3	5.41e-10	.0000279	.0001289
"other_neuro"	1	1	3	1.63e-09	.0000841	.0003883
"other_neuro"	0	0	4	7.61e-10	.0000393	.0001814
"other_neuro"	1	0	4	2.23e-09	.0001154	.0005324
"other_neuro"	0	1	4	1.59e-09	.0000823	.0003797
"other_neuro"	1	1	4	4.97e-09	.0002564	.0011824
"other_neuro"	0	0	5	2.01e-09	.000104	.0004802
"other_neuro"	1	0	5	5.74e-09	.0002966	.0013676
"other_neuro"	0	1	5	4.36e-09	.0002252	.0010386
"other_neuro"	1	1	5	1.23e-08	.0006333	.0029158
"other_neuro"	0	0	6	6.96e-09	.0003595	.0016574
"other_neuro"	1	0	6	1.83e-08	.0009452	.0043432
"other_neuro"	0	1	6	1.42e-08	.0007337	.0033759
"other_neuro"	1	1	6	3.55e-08	.0018273	.0083633
"organ_transplant"	0	0	1	2.22e-11	1.15e-06	5.30e-06
"organ_transplant"	1	0	1	2.84e-10	.0000147	.0000678
"organ_transplant"	0	1	1	3.89e-11	2.01e-06	9.27e-06
"organ_transplant"	1	1	1	4.07e-10	.000021	.0000972
"organ_transplant"	0	0	2	9.79e-11	5.06e-06	.0000234
"organ_transplant"	1	0	2	1.13e-09	.0000586	.0002704
"organ_transplant"	0	1	2	1.81e-10	9.33e-06	.0000431
"organ_transplant"	1	1	2	1.96e-09	.0001014	.0004682
"organ_transplant"	0	0	3	2.75e-10	.0000142	.0000657
"organ_transplant"	1	0	3	3.12e-09	.0001613	.0007442
"organ_transplant"	0	1	3	5.38e-10	.0000278	.0001284
"organ_transplant"	1	1	3	6.07e-09	.0003136	.0014465
"organ_transplant"	0	0	4	7.70e-10	.0000398	.0001836
"organ_transplant"	1	0	4	8.73e-09	.0004504	.0020749
"organ_transplant"	0	1	4	1.60e-09	.0000825	.0003809
"organ_transplant"	1	1	4	1.76e-08	.0009091	.0041809
"organ_transplant"	0	0	5	2.06e-09	.0001066	.0004919
"organ_transplant"	1	0	5	1.66e-08	.0008576	.0039432
"organ_transplant"	0	1	5	4.48e-09	.0002311	.0010662
"organ_transplant"	1	1	5	3.90e-08	.0020101	.0091934
"organ_transplant"	0	0	6	7.19e-09	.000371	.0017102
"organ_transplant"	1	0	6	3.93e-08	.0020262	.009268
"organ_transplant"	0	1	6	1.48e-08	.0007644	.0035161
"organ_transplant"	1	1	6	8.09e-08	.0041553	.0187926
"spleen"	0	0	1	2.23e-11	1.15e-06	5.33e-06
"spleen"	1	0	1	4.52e-11	2.33e-06	.0000108
"spleen"	0	1	1	3.91e-11	2.02e-06	9.32e-06
"spleen"	1	1	1	7.63e-11	3.94e-06	.0000182
"spleen"	0	0	2	9.87e-11	5.10e-06	.0000236
"spleen"	1	0	2	1.78e-10	9.20e-06	.0000425
"spleen"	0	1	2	1.83e-10	9.43e-06	.0000436
"spleen"	1	1	2	3.28e-10	.0000169	.0000782
"spleen"	0	0	3	2.78e-10	.0000144	.0000664
"spleen"	1	0	3	6.21e-10	.0000321	.000148
"spleen"	0	1	3	5.48e-10	.0000283	.0001308
"spleen"	1	1	3	9.83e-10	.0000508	.0002343
"spleen"	0	0	4	7.79e-10	.0000403	.0001859
"spleen"	1	0	4	1.56e-09	.0000804	.0003712
"spleen"	0	1	4	1.63e-09	.0000844	.0003894
"spleen"	1	1	4	3.20e-09	.000165	.0007612
"spleen"	0	0	5	2.08e-09	.0001072	.0004949
"spleen"	1	0	5	3.75e-09	.0001937	.0008939
"spleen"	0	1	5	4.53e-09	.0002337	.0010778
"spleen"	1	1	5	8.29e-09	.0004277	.0019708
"spleen"	0	0	6	7.19e-09	.0003714	.001712
"spleen"	1	0	6	1.19e-08	.000616	.0028363
"spleen"	0	1	6	1.48e-08	.0007658	.0035223
"spleen"	1	1	6	2.29e-08	.0011808	.005424
"ra_sle_psoriasis"	0	0	1	2.20e-11	1.14e-06	5.26e-06
"ra_sle_psoriasis"	1	0	1	3.07e-11	1.59e-06	7.33e-06
"ra_sle_psoriasis"	0	1	1	3.87e-11	2.00e-06	9.24e-06
"ra_sle_psoriasis"	1	1	1	5.31e-11	2.75e-06	.0000127
"ra_sle_psoriasis"	0	0	2	9.75e-11	5.04e-06	.0000233
"ra_sle_psoriasis"	1	0	2	1.23e-10	6.37e-06	.0000294
"ra_sle_psoriasis"	0	1	2	1.81e-10	9.36e-06	.0000432
"ra_sle_psoriasis"	1	1	2	2.20e-10	.0000114	.0000524
"ra_sle_psoriasis"	0	0	3	2.73e-10	.0000141	.0000651
"ra_sle_psoriasis"	1	0	3	3.63e-10	.0000188	.0000866
"ra_sle_psoriasis"	0	1	3	5.41e-10	.000028	.0001291
"ra_sle_psoriasis"	1	1	3	6.93e-10	.0000358	.0001654
"ra_sle_psoriasis"	0	0	4	7.59e-10	.0000392	.000181
"ra_sle_psoriasis"	1	0	4	1.05e-09	.0000541	.0002496
"ra_sle_psoriasis"	0	1	4	1.60e-09	.0000829	.0003826
"ra_sle_psoriasis"	1	1	4	2.11e-09	.0001092	.000504
"ra_sle_psoriasis"	0	0	5	2.02e-09	.0001043	.0004812
"ra_sle_psoriasis"	1	0	5	2.76e-09	.0001423	.0006566
"ra_sle_psoriasis"	0	1	5	4.43e-09	.0002288	.0010552
"ra_sle_psoriasis"	1	1	5	5.87e-09	.0003029	.0013967
"ra_sle_psoriasis"	0	0	6	7.09e-09	.000366	.0016868
"ra_sle_psoriasis"	1	0	6	8.57e-09	.0004424	.0020384
"ra_sle_psoriasis"	0	1	6	1.47e-08	.000757	.0034818
"ra_sle_psoriasis"	1	1	6	1.74e-08	.0008984	.00413
"immunosuppression"	0	0	1	2.10e-11	1.09e-06	5.02e-06
"immunosuppression"	1	0	1	4.65e-11	2.40e-06	.0000111
"immunosuppression"	0	1	1	3.87e-11	2.00e-06	9.23e-06
"immunosuppression"	1	1	1	9.09e-11	4.69e-06	.0000217
"immunosuppression"	0	0	2	9.64e-11	4.98e-06	.000023
"immunosuppression"	1	0	2	1.50e-10	7.77e-06	.0000359
"immunosuppression"	0	1	2	1.81e-10	9.33e-06	.0000431
"immunosuppression"	1	1	2	3.76e-10	.0000194	.0000898
"immunosuppression"	0	0	3	2.76e-10	.0000143	.0000659
"immunosuppression"	1	0	3	5.27e-10	.0000272	.0001257
"immunosuppression"	0	1	3	5.43e-10	.000028	.0001294
"immunosuppression"	1	1	3	1.27e-09	.0000658	.0003036
"immunosuppression"	0	0	4	7.76e-10	.0000401	.0001852
"immunosuppression"	1	0	4	1.95e-09	.0001007	.0004644
"immunosuppression"	0	1	4	1.62e-09	.0000839	.0003873
"immunosuppression"	1	1	4	4.00e-09	.0002063	.0009516
"immunosuppression"	0	0	5	2.07e-09	.000107	.0004939
"immunosuppression"	1	0	5	5.45e-09	.0002815	.0012969
"immunosuppression"	0	1	5	4.51e-09	.0002329	.0010742
"immunosuppression"	1	1	5	1.22e-08	.0006287	.0028886
"immunosuppression"	0	0	6	7.19e-09	.0003712	.0017109
"immunosuppression"	1	0	6	1.55e-08	.0008019	.0036895
"immunosuppression"	0	1	6	1.48e-08	.0007644	.0035157
"immunosuppression"	1	1	6	3.55e-08	.0018245	.0083167
"obese4cat"	1	0	1	1.94e-11	1.00e-06	4.63e-06
"obese4cat"	2	0	1	2.85e-11	1.47e-06	6.81e-06
"obese4cat"	3	0	1	3.58e-11	1.85e-06	8.53e-06
"obese4cat"	4	0	1	5.20e-11	2.69e-06	.0000124
"obese4cat"	1	1	1	3.59e-11	1.86e-06	8.57e-06
"obese4cat"	2	1	1	5.85e-11	3.02e-06	.000014
"obese4cat"	3	1	1	7.14e-11	3.69e-06	.000017
"obese4cat"	4	1	1	1.02e-10	5.25e-06	.0000242
"obese4cat"	1	0	2	8.23e-11	4.25e-06	.0000196
"obese4cat"	2	0	2	1.18e-10	6.07e-06	.000028
"obese4cat"	3	0	2	1.52e-10	7.87e-06	.0000363
"obese4cat"	4	0	2	2.26e-10	.0000117	.0000539
"obese4cat"	1	1	2	1.60e-10	8.28e-06	.0000382
"obese4cat"	2	1	2	2.29e-10	.0000118	.0000546
"obese4cat"	3	1	2	3.08e-10	.0000159	.0000734
"obese4cat"	4	1	2	4.64e-10	.000024	.0001106
"obese4cat"	1	0	3	2.21e-10	.0000114	.0000528
"obese4cat"	2	0	3	3.28e-10	.0000169	.0000782
"obese4cat"	3	0	3	4.38e-10	.0000226	.0001046
"obese4cat"	4	0	3	6.61e-10	.0000341	.0001576
"obese4cat"	1	1	3	4.56e-10	.0000236	.0001089
"obese4cat"	2	1	3	6.56e-10	.0000339	.0001565
"obese4cat"	3	1	3	9.06e-10	.0000468	.000216
"obese4cat"	4	1	3	1.41e-09	.0000731	.0003373
"obese4cat"	1	0	4	6.07e-10	.0000314	.0001448
"obese4cat"	2	0	4	9.34e-10	.0000483	.0002229
"obese4cat"	3	0	4	1.29e-09	.0000666	.0003074
"obese4cat"	4	0	4	2.03e-09	.0001051	.0004849
"obese4cat"	1	1	4	1.33e-09	.0000685	.0003163
"obese4cat"	2	1	4	1.98e-09	.0001021	.0004711
"obese4cat"	3	1	4	2.82e-09	.0001458	.0006728
"obese4cat"	4	1	4	4.39e-09	.0002267	.0010462
"obese4cat"	1	0	5	1.65e-09	.000085	.0003925
"obese4cat"	2	0	5	2.58e-09	.0001335	.000616
"obese4cat"	3	0	5	3.64e-09	.0001882	.0008684
"obese4cat"	4	0	5	5.64e-09	.0002911	.0013427
"obese4cat"	1	1	5	3.76e-09	.0001942	.000896
"obese4cat"	2	1	5	5.73e-09	.0002958	.0013642
"obese4cat"	3	1	5	8.10e-09	.0004183	.0019277
"obese4cat"	4	1	5	1.23e-08	.0006352	.0029253
"obese4cat"	1	0	6	6.47e-09	.0003338	.0015391
"obese4cat"	2	0	6	8.72e-09	.00045	.0020736
"obese4cat"	3	0	6	1.18e-08	.0006073	.0027957
"obese4cat"	4	0	6	1.68e-08	.0008694	.0039988
"obese4cat"	1	1	6	1.37e-08	.0007067	.0032516
"obese4cat"	2	1	6	1.86e-08	.0009579	.0044031
"obese4cat"	3	1	6	2.50e-08	.0012887	.0059143
"obese4cat"	4	1	6	3.37e-08	.0017381	.0079647
"smoke_nomiss"	1	0	1	2.00e-11	1.03e-06	4.76e-06
"smoke_nomiss"	2	0	1	3.06e-11	1.58e-06	7.31e-06
"smoke_nomiss"	3	0	1	1.94e-11	1.00e-06	4.63e-06
"smoke_nomiss"	1	1	1	3.40e-11	1.75e-06	8.10e-06
"smoke_nomiss"	2	1	1	5.85e-11	3.02e-06	.000014
"smoke_nomiss"	3	1	1	3.72e-11	1.92e-06	8.86e-06
"smoke_nomiss"	1	0	2	9.37e-11	4.84e-06	.0000224
"smoke_nomiss"	2	0	2	1.11e-10	5.75e-06	.0000265
"smoke_nomiss"	3	0	2	8.87e-11	4.58e-06	.0000212
"smoke_nomiss"	1	1	2	1.70e-10	8.81e-06	.0000407
"smoke_nomiss"	2	1	2	2.18e-10	.0000113	.000052
"smoke_nomiss"	3	1	2	1.59e-10	8.22e-06	.000038
"smoke_nomiss"	1	0	3	2.53e-10	.0000131	.0000603
"smoke_nomiss"	2	0	3	3.26e-10	.0000168	.0000777
"smoke_nomiss"	3	0	3	2.59e-10	.0000134	.0000617
"smoke_nomiss"	1	1	3	4.75e-10	.0000245	.0001134
"smoke_nomiss"	2	1	3	6.72e-10	.0000347	.0001603
"smoke_nomiss"	3	1	3	4.90e-10	.0000253	.0001169
"smoke_nomiss"	1	0	4	6.64e-10	.0000343	.0001584
"smoke_nomiss"	2	0	4	9.36e-10	.0000483	.0002231
"smoke_nomiss"	3	0	4	7.27e-10	.0000376	.0001735
"smoke_nomiss"	1	1	4	1.25e-09	.0000644	.0002975
"smoke_nomiss"	2	1	4	2.02e-09	.0001042	.0004808
"smoke_nomiss"	3	1	4	1.46e-09	.0000755	.0003485
"smoke_nomiss"	1	0	5	1.68e-09	.0000867	.0004
"smoke_nomiss"	2	0	5	2.50e-09	.0001289	.000595
"smoke_nomiss"	3	0	5	1.93e-09	.0000995	.0004595
"smoke_nomiss"	1	1	5	3.18e-09	.0001645	.000759
"smoke_nomiss"	2	1	5	5.29e-09	.0002731	.0012593
"smoke_nomiss"	3	1	5	3.92e-09	.0002023	.0009333
"smoke_nomiss"	1	0	6	6.07e-09	.0003134	.001445
"smoke_nomiss"	2	0	6	8.63e-09	.0004456	.0020531
"smoke_nomiss"	3	0	6	5.57e-09	.0002876	.0013267
"smoke_nomiss"	1	1	6	1.09e-08	.0005648	.0026008
"smoke_nomiss"	2	1	6	1.68e-08	.0008647	.0039755
"smoke_nomiss"	3	1	6	1.12e-08	.0005758	.0026522
"imd"	1	0	1	1.59e-11	8.21e-07	3.79e-06
"imd"	2	0	1	1.89e-11	9.76e-07	4.51e-06
"imd"	3	0	1	2.00e-11	1.03e-06	4.78e-06
"imd"	4	0	1	2.53e-11	1.31e-06	6.04e-06
