description,patient
(Adjud)/(memb:[appeal trib]/[commiss enq],1
Trauma surgeon,1
Transplant surgeon,1
"Engineering officer, mechanical - RAF",1
"Engineering officer, aircraft electrical",1
Trainee wholesale sales representative,1
Engineering officer - RAF,1
Trainee waiter,1
Armourer - Royal Electrical and Mechanica,1
Army Air Corps personnel,1
Army Physical Training Corps personnel,1
Trainee transport manager,1
Trainee telephonist,1
"Engineering officer, signal equipment - R",1
Engine room hand,1
Road: [asphalt/bitumen surfacer] or [swee,1
"Electrical technician, air defence - RAF",1
Electrical technician - RAF,1
Roundsmen supervisor,1
Trainee remedial therapist,1
Royal Army Veterinary Corps Warrant Offic,1
Assistant air traffic controller - RAF,1
Royal Artillery personnel,1
Assistant superintendent - cemetery,1
Electric &/or electronic linesman,1
Atomic/molecular physicist,1
Safety equipment fitter - RAF,1
Rifle merchant,1
Trainee natural scientist,1
Repetitive assembler - rubber,1
Appliance officer,1
Processor(s): [other mats][ceramic][glass,1
Furrier,1
Fuel technologist,1
Foreman bookbinder,1
Psychoanalyst,1
Food processor - grinder,1
Food counter hands &/or dispensers,1
Fixer &/or walling mason,1
Aircraft test pilot,1
Aircrewman gunner - Army Air Corps,1
Radio &/or t.v. fitter/mechanic,1
All arms personnel,1
Repetitive assembler - leather,1
Radio fitter,1
Rail secondman,1
Filterer/strainer NOS,1
Tugman,1
Railwayman - Royal Logistics Corps,1
Range assistant - Royal Artillery,1
Terrain analysis technician - Royal Engin,1
Field survey technician - Royal Engineers,1
Field radar operator - Royal Artillery,1
Rehabilitation psychiatrist,1
Excise officer,1
Rent boy,1
Appeals tribunal chairman,1
Tunneller,1
Process description writer,1
Duplicating machine operator,1
Drilling manager,1
Blood transfusion doctor,1
Coach finisher,1
Clown,1
Clinical cytogeneticist,1
Time clerk,1
Bookbinder/paper worker NOS,1
Boot &/or shoe maker,1
Supervisor: calculating machine operator,1
Supervisor: radio operators,1
Chemical engineer - feasibility studies,1
Tile caster,1
Breast-feeding sister,1
Comedian &/or clown,1
Supply officer - RAF,1
Surgical corset fitter,1
Ticket collector - general,1
Surgical fitter,1
Ceramics processor,1
Textile: [repairer] or [darner],1
Textile: [linking machinist] or [linker],1
Surgical shoe maker,1
Tailor - Royal Artillery,1
Tank transporter - Royal Logistics Corps,1
Taxidermist,1
Telecommunications technician - Royal Mar,1
Canner - product,1
Chef - RAF,1
Security officer - RAF,1
Stockjobber,1
Steward - RAF,1
Draftsman - Royal Engineers,1
Domiciliary occupational therapist,1
Avionics technician - Royal Electrical &,1
Senior officer - salvage corps,1
Trainee entertainer,1
Banding of occupational therapist,1
Shellfish cultivator,1
Diabetic liaison nurse,1
Ship surveyor,1
Dental support technician - Royal Army De,1
Dental hygienist - RAF,1
Slab caster,1
Commissioned officer marine engineer - Ro,1
Deck &/or engineroom hands,1
Beaterman - paper (& [etc]) &/or board pr,1
"Soldier, non-driver - Royal Logistics Cor",1
Corset maker,1
Coremakers - metal,1
Control equipm technician - Royal Electri,1
Sports stadium manager,1
Berthingman,1
Construction clerk of works - Royal Engin,1
Conjurer,1
Concrete &/or cement maker,1
Steel rollerman,1
Company nurse,1
Bath attendant,1
Gas production manager,1
Terrazzo worker,1
Parasitologist,1
Hovercraft navigator,1
Ornamental metal worker,1
Overman - mining,1
Liver dietitian,1
Machine container filler,1
Painter and finisher - RAF,1
Horse trainer - Royal Army Veterinary Cor,1
Machine pottery maker,1
(Medical &/or dental technicians) or (den,1
Helicopter co-pilot,1
Mine manager,1
Paperboard worker,1
Administrative officer physical education,1
Military training instructor - Royal Logi,1
Adult intensive care specialist,1
Patent engineer,1
Midwifery tutor,1
Midwifery grade,1
Hedger,1
Pharmacy technician - Royal Army Medical,1
Lighterman,1
Operating theatre technician - Royal Army,1
(Stockman - pigs) or (pig man),1
(Spinner) or (reeler),1
Kiln placer,1
Kilnman - processing,1
"Intelligence, general ground duties - RAF",1
Integrated midwife,1
"Weapons mechanic, technical - RAF",1
Water transport occupation [& boatman (&,1
Motive power superintendent,1
Navigator - Royal Logistics Corps,1
Officer - armed forces (& NOS),1
Air signaller (RC) - RAF,1
Oiler &/or greaser,1
My Care My Way Team Member,1
Leather sewer &/or stitcher,1
Oncology dietitian,1
Movements controller - RAF,1
Infectious diseases physician,1
NCO Commander armoured fight vehicle - Ro,1
Aerial erector - RAF,1
Welfare officer to the deaf,1
Hatmaker,1
Pilot officer - Royal Navy,1
Pilot - Army Air Corps,1
Philologist,1
General technician - RAF,1
Measurer - product,1
Aeronautical engineer - trainee,1
Medical supply technician - Royal Army Me,1
Pier master,1
Medical member of mental health review tr,1
Metal fettler &/or dresser &/or grinder,1
Metal making/treating,1
Management services practitioner - Royal,1
Medical technician - Royal Army Nursing C,1
Air engineer airborne - RAF,1
Greaser,1
Marine engineer - Royal Logistics Corps,1
General duties - RAF,1
Marine engineer submarines - Royal Navy,1
Aeronautical engineer - applications,1
Midwife counsellor,1
"General mechanic, ground service equipmen",1
Note taker,2
Concert hall manager &/or theatre manager,2
Manager-underground mining NOS,2
Liaison psychiatrist,2
Systems telecommunications operator - Roy,2
Leather goods repairer,2
Leather cutter,2
Lavatory attendant,2
Smith (& [blacksmith] or [farrier]) &/or,2
Telecommunications operator - Royal Signa,2
Map checker,2
Map/chart draughtsman,2
Teacher of the blind,2
Carver - meat,2
Social services occupational therapist,2
Solicitor's clerk: [managing] or [top],2
Cardiac surgeon,2
Technician - Royal Army Medical Corps,2
Telecommunications controller - RAF,2
Smith,2
Surgical footwear maker,2
Manager - well drilling,2
Steel bender &/or fixer,2
Chemical engineer - liaison,2
Chemical engineer trainee,2
Chest physician,2
Chief steward - seagoing,2
Chemical engineer - applications,2
Military clerk,2
Supervisor - ward orderlies,2
Civil engineer - liaison,2
Student operating theatre technician - RA,2
Male prostitute,2
Shipwright,2
Stores accountant - Royal Signals,2
Supply controller - Royal Logistics Corps,2
Member of mental health review tribunal,2
Clinical haematologist,2
Clock repairer,2
Clothing pattern marker,2
Machine metal engraver,2
Lymphoedema nurse,2
Mineralogist,2
Ceramics technologist,2
Manager - sheep farm,2
Line/twine/cord maker,2
Commissioned officer medical - Royal Navy,2
Ceramics decorator,2
Communications systems voice analyst - RA,2
Cemetery superintendent,2
Statistical analyst - RAF,2
Gas supply manager,2
Drink processor,2
Design draftsman - Royal Engineers,2
Fire point inspection man,2
Radio telecommunications technician - Roy,2
Radio/telegraph operator NOS,2
Piano repairer,2
Grader - product,2
Physiol measurements technician - Royal A,2
Physical training instructor - RAF,2
Radio &/or telegraph operators,2
Haemodialysis nurse,2
Pharmacy technician - RAF,2
Environmental health technician - RAF,2
Petroleum processor,2
Petroleum fitter - Royal Engineers,2
Patient mentor,2
"Engineering technician, avionics - RAF",2
Patient has a young carer,2
Hatchery worker,2
Glass working foreman,2
Fish hatcher,2
Radar technician - Royal Electrical and M,2
