100570 (100.0)	20170 (20.1)	20202 (20.1)	20266 (20.2)	20041 (19.9)


27739 (27.6)	5514 (19.9)	5652 (20.4)	5446 (19.6)	5492 (19.8)
12100 (12.0)	2483 (20.5)	2406 (19.9)	2483 (20.5)	2418 (20.0)
22146 (22.0)	4467 (20.2)	4398 (19.9)	4538 (20.5)	4395 (19.8)
9454 (9.4)	1905 (20.2)	1895 (20.0)	1829 (19.3)	1986 (21.0)
8345 (8.3)	1694 (20.3)	1686 (20.2)	1679 (20.1)	1665 (20.0)
20786 (20.7)	4107 (19.8)	4165 (20.0)	4291 (20.6)	4085 (19.7)


55242 (54.9)	11072 (20.0)	11068 (20.0)	11093 (20.1)	11040 (20.0)
45328 (45.1)	9098 (20.1)	9134 (20.2)	9173 (20.2)	9001 (19.9)


15066 (15.0)	3090 (20.5)	3022 (20.1)	3005 (19.9)	2939 (19.5)
19228 (19.1)	3745 (19.5)	3841 (20.0)	3874 (20.1)	3813 (19.8)
19002 (18.9)	3837 (20.2)	3840 (20.2)	3802 (20.0)	3775 (19.9)
16730 (16.6)	3343 (20.0)	3312 (19.8)	3336 (19.9)	3390 (20.3)
15407 (15.3)	3104 (20.1)	3118 (20.2)	3115 (20.2)	3072 (19.9)
15137 (15.1)	3051 (20.2)	3069 (20.3)	3134 (20.7)	3052 (20.2)
0 (0.0)	0 (  .)	0 (  .)	0 (  .)	0 (  .)


29262 (29.1)	5865 (20.0)	5806 (19.8)	5909 (20.2)	5842 (20.0)
12879 (12.8)	2562 (19.9)	2616 (20.3)	2624 (20.4)	2565 (19.9)
29138 (29.0)	5851 (20.1)	5834 (20.0)	5853 (20.1)	5756 (19.8)
29291 (29.1)	5892 (20.1)	5946 (20.3)	5880 (20.1)	5878 (20.1)


10272 (10.2)	2143 (20.9)	2078 (20.2)	2113 (20.6)	2044 (19.9)
164 (0.2)	34 (20.7)	31 (18.9)	41 (25.0)	32 (19.5)
100 (0.1)	19 (19.0)	25 (25.0)	22 (22.0)	22 (22.0)
24 (0.0)	5 (20.8)	7 (29.2)	3 (12.5)	6 (25.0)
10025 (10.0)	1978 (19.7)	2018 (20.1)	1969 (19.6)	2039 (20.3)
79985 (79.5)	15991 (20.0)	16043 (20.1)	16118 (20.2)	15898 (19.9)


18628 (18.5)	3647 (19.6)	3760 (20.2)	3816 (20.5)	3747 (20.1)
19364 (19.3)	3952 (20.4)	3872 (20.0)	3950 (20.4)	3882 (20.0)
13599 (13.5)	2755 (20.3)	2714 (20.0)	2738 (20.1)	2696 (19.8)
26850 (26.7)	5376 (20.0)	5334 (19.9)	5363 (20.0)	5314 (19.8)
20694 (20.6)	4157 (20.1)	4236 (20.5)	4097 (19.8)	4125 (19.9)
1435 (1.4)	283 (19.7)	286 (19.9)	302 (21.0)	277 (19.3)


51906 (51.6)	10356 (20.0)	10499 (20.2)	10505 (20.2)	10235 (19.7)
5242 (5.2)	1137 (21.7)	990 (18.9)	1035 (19.7)	1052 (20.1)
19217 (19.1)	3802 (19.8)	3896 (20.3)	3827 (19.9)	3930 (20.5)
24205 (24.1)	4875 (20.1)	4817 (19.9)	4899 (20.2)	4824 (19.9)
