CTV3ID,CTV3PreferredTermDesc
C390y,Other specified deficiency of humoral immunity
C390z,Deficiency of humoral immunity NOS
C391.,Deficiencies of cell-mediated immunity
C391z,Deficiency of cell-mediated immunity NOS
C393.,Unspecified immunity deficiency
Cyu00,[X]Other immunodeficiencies+predominantly antibody defects
Cyu05,[X]Other specified immunodeficiency disorders
D401z,Polymorphonuclear neutrophil disorder NOS
X20GZ,Immunodeficiency disorder
X20HE,T-lymphocyte deficiency
XaYgn,Immune reconstitution syndrome
XE11u,Deficiencies of humoral immunity
XE11w,Predominantly T-cell immuno-deficiency NOS
C30yy,(Adenosine deamin def) or (oth sp disturb amino acid metab)
C3760,C1 esterase inhibitor deficiency
C390.,(Deficiencies of humoral immunity) or (agammaglobulinaemia)
C3901,Selective immunoglobulin A deficiency
C3902,Selective immunoglobulin M deficiency
C3903,Selective immunoglobulin G deficiency
C3904,Other selective immunoglobulin deficiency
C3905,Hypogammaglob:[cong][agammaglob:(Brut)(cong sex-link & [X])]
C3906,Hyperimmunoglobulin M syndrome
C3907,Common variable immunodeficiency
C3909,Agammaglobulinaemia NEC
C390A,Dysimmunoglobulinaemia NEC
C3910,Cellular immunity syndr (& T-lymphocyte deficiency [& NOS])
C3911,DiGeorge syndrome
C3912,Wiskott-Aldrich syndrome
C3913,Nezelof's syndrome
C392.,Combined T-cell and B-cell immunodeficiency
C3920,Autosomal recessive severe combined immunodeficiency
C3921,(Severe combined immunodefic) or (Swiss agammaglobulinaemia)
C3922,Thymic aplasia or dysplasia with immunodeficiency
C3923,Severe combined immunodefiency with reticular dysgenesis
C3924,Severe combined immunodef with low T- and B-cell numbers
C3925,Severe combined immunodef with low or normal B-cell numbers
C3928,Major histocompatibility complex class I deficiency
C3929,Major histocompatibility complex class II deficiency
C392z,Combined immunity deficiency NOS
C396.,Immunodef follow hereditary defect respon Epstein-Barr vir
C3980,Com var immunodef with predom abn B-cell numbers and functns
C3981,Common var immunodef predom immunoregulatory T-cell disorder
C3982,Common variable immunodef wth autoantibod to B- or T-cells
C39y0,Lymphocyte function antigen-1 defect
Cyu01,[X]Other combined immunodeficiency disorders
Cyu02,[X]Immunodeficiency associatd+other specified major defects
Cyu03,"[X]Immunodeficiency associated+major defect, unspecified"
Cyu04,[X]Other common variable immunodeficiencies
D2016,Pancytopenia: [with malformation]/[with pancreatitis]/[NOS]
D4001,Primary splenic neutropenia
D4005,Congenital: [neutropenia] or [agranulocytosis NEC]
D4009,Cyclical neutropenia
D401.,(Funct dis polymorph neutroph)(Job's)(fam lipochr histiocyt)
D4010,Congenital dysphagocytosis
