CTV3ID,CTV3PreferredTermDesc,CTV3Source
14F2.,H/O: psoriasis,CTV3Map_Code_And_Term
F3710,Polyneuropathy in disseminated lupus erythematosus,CTV3Map_Code_And_Term
F3961,Myopathy due to disseminated lupus erythematosus,CTV3Map_Code_And_Term
F4D33,Discoid lupus eyelid,CTV3Map_Code_And_Term
H57y4,Lung disease with systemic lupus erythematosus,CTV3Map_Code_And_Term
K01x4,(Nephr synd in system lupus erythemat) or (lupus nephritis],High_Level_SNOMED
M07y0,Acute palmoplantar pustular psoriasis,CTV3_Children
M143.,[Pustular psoriasis] or [impetigo herpetiformis],High_Level_SNOMED
M154.,Lupus erythematosus,CTV3Map_Code_And_Term
M1540,Lupus erythematosus chronicus,CTV3Map_Code_And_Term
M1541,Discoid lupus erythematosus,CTV3Map_Code_And_Term
M1542,Lupus erythematosus migrans,CTV3Map_Code_And_Term
M1543,Lupus erythematosus nodularis,CTV3Map_Code_And_Term
M1544,Lupus erythematosus profundus,CTV3Map_Code_And_Term
M1545,Lupus erythematosus tumidus,CTV3Map_Code_And_Term
M1546,Lupus erythematosus unguium mutilans,CTV3Map_Code_And_Term
M154z,Lupus erythematosus NOS,CTV3Map_Code_And_Term
M16..,Psoriasis and similar disorders,CTV3Map_Code_And_Term
M160.,Psoriatic arthritis,CTV3Map_Code_And_Term
M160.,Psoriatic arthritis,CTV3Map_Code_Only
M1600,Psoriatic arthritis with spine involvement,CTV3Map_Code_And_Term
M160z,Psoriatic arthropathy NOS,CTV3Map_Code_And_Term
M161.,Other psoriasis,CTV3Map_Code_And_Term
M1610,Psoriasis unspecified,CTV3Map_Code_And_Term
M1611,Psoriasis annularis,CTV3Map_Code_And_Term
M1612,Psoriasis circinata,CTV3Map_Code_And_Term
M1613,Psoriasis diffusa,CTV3Map_Code_And_Term
M1614,Plaque psoriasis,CTV3Map_Code_And_Term
M1615,Psoriasis geographica,CTV3Map_Code_And_Term
M1616,Guttate psoriasis,CTV3Map_Code_And_Term
M1617,Psoriasis gyrata,CTV3Map_Code_And_Term
M1618,Psoriasis inveterata,CTV3Map_Code_And_Term
M1619,Rupioid psoriasis,CTV3Map_Code_And_Term
M161A,Psoriasis palmaris,CTV3Map_Code_And_Term
M161B,Psoriasis plantaris,CTV3Map_Code_And_Term
M161C,Psoriasis punctata,CTV3Map_Code_And_Term
M161D,[Pustular psoriasis] or [impetigo herpetiformis],High_Level_SNOMED
M161E,Psoriasis universalis,CTV3Map_Code_And_Term
M161F,Psoriasis vulgaris & (Chronic large plaque psoriasis),CTV3_Children
M161z,Psoriasis NOS,CTV3Map_Code_And_Term
M16y.,Other psoriasis and similar disorders,CTV3Map_Code_And_Term
M16z.,Psoriasis and similar disorders NOS,CTV3Map_Code_And_Term
Myu30,[X]Other psoriasis,CTV3Map_Code_And_Term
Myu78,[X]Other local lupus erythematosus,CTV3_Children
N000.,Systemic lupus erythematosus,CTV3Map_Code_And_Term
N0002,Drug-induced systemic lupus erythematosus,CTV3Map_Code_And_Term
N000z,Systemic lupus erythematosus NOS,CTV3Map_Code_And_Term
Nyu13,[X]Other psoriatic arthropathies,CTV3Map_Code_And_Term
Nyu43,[X]Other forms of systemic lupus erythematosus,CTV3Map_Code_And_Term
X00Dx,Cerebral lupus,CTV3Map_Code_And_Term
X00Dx,Cerebral lupus,CTV3Map_Code_Only
X30Kn,Lupus nephritis - WHO Class I,CTV3_Children
X30Ko,Lupus nephritis - WHO Class II,CTV3_Children
X30Kp,Lupus nephritis - WHO Class III,CTV3_Children
X30Kq,Lupus nephritis - WHO Class IV,CTV3_Children
X30Kr,Lupus nephritis - WHO Class V,CTV3_Children
X30Ks,Lupus nephritis - WHO Class VI,CTV3_Children
X506Y,Psoriasis,High_Level_SNOMED
X506Z,Flexural psoriasis,CTV3Map_Code_And_Term
X506a,Unstable psoriasis,High_Level_SNOMED
X506b,Erythrodermic psoriasis,CTV3Map_Code_And_Term
X506c,Psoriasis-eczema overlap condition,High_Level_SNOMED
X506d,Eczematised psoriasis,High_Level_SNOMED
X506e,Psoriasis of nail,High_Level_SNOMED
X506f,Psoriatic nail dystrophy,High_Level_SNOMED
X506g,Psoriatic nail pitting,High_Level_SNOMED
X506i,Scalp psoriasis,CTV3Map_Code_And_Term
X506k,Koebner psoriasis,High_Level_SNOMED
X506l,Localised pustular psoriasis,CTV3_Children
X506m,Palmoplantar pustular psoriasis,CTV3Map_Code_And_Term
X506o,Lapiere type of psoriasis,CTV3_Children
X506p,Generalised pustular psoriasis,CTV3_Children
X506q,Acute generalised pustular psoriasis,CTV3_Children
X506r,Generalised pustular psoriasis of pregnancy,CTV3_Children
X506s,Pustular psoriasis in children,CTV3_Children
X506t,Juvenile pustular psoriasis,CTV3_Children
X506u,Infantile pustular psoriasis,CTV3_Children
X506v,Circinate and annular pustular psoriasis,CTV3_Children
X50Ew,Lupus erythematosus and erythema multiforme-like syndrome,CTV3_Children
X50Ex,Chronic discoid lupus erythematosus,CTV3_Children
X50Ez,Chilblain lupus erythematosus,CTV3_Children
X50JD,Acropustulosis of infancy,High_Level_SNOMED
X701u,Juvenile psoriatic arthritis,CTV3_Children
X701v,Juvenile psoriatic arthritis with psoriasis,CTV3Map_Code_And_Term
X701w,Juvenile psoriatic arthritis without psoriasis,CTV3_Children
X7026,Psoriatic arthritis with distal interphalangeal joint involv,CTV3Map_Code_And_Term
X7027,Psoriatic arthritis - destructive type,CTV3Map_Code_And_Term
X7028,Psoriatic dactylitis,CTV3_Children
X704W,Limited lupus erythematosus,CTV3_Children
X704X,Systemic lupus erythematosus with organ/system involvement,CTV3Map_Code_And_Term
X704a,Lupus panniculitis,CTV3_Children
