CTV3ID,CTV3PreferredTermDesc,CTV3Source
23E5.,O/E - fibrosis of lung present,High_Level_SNOMED
663K.,Airways obstructn irreversible,CTV3Map_Code_And_Term
7450.,Lung transplant,CTV3Map_Code_And_Term
7450y,Other specified transplantation of lung,CTV3Map_Code_And_Term
7450z,Transplantation of lung NOS,CTV3Map_Code_And_Term
A114.,Tuberculous fibrosis of lung,High_Level_SNOMED
A115.,Tuberculous bronchiectasis,CTV3Map_Code_And_Term
A7899,HIV disease resulting in lymphoid interstitial pneumonitis,CTV3_Children
AD52.,Sarcoidosis of lung with sarcoidosis of lymph nodes,CTV3Map_Code_And_Term
C370.,Cystic fibrosis,CTV3Map_Code_And_Term
C370.,Cystic fibrosis,CTV3Map_Code_Only
C3700,Cystic fibrosis with no meconium ileus,CTV3Map_Code_And_Term
C3701,Meconium ileus in cystic fibrosis,CTV3Map_Code_And_Term
C3701,Meconium ileus in cystic fibrosis,CTV3Map_Code_Only
C3702,Cystic fibrosis with pulmonary manifestations,CTV3Map_Code_And_Term
C3703,Cystic fibrosis with intestinal manifestations,CTV3Map_Code_And_Term
C370z,Cystic fibrosis NOS,CTV3Map_Code_And_Term
H0614,Obliterating fibrous bronchiolitis,QOF
H3...,Chronic obstructive lung disease,CTV3Map_Code_And_Term
H3...,Chronic obstructive lung disease,CTV3Map_Code_Only
H31..,Chronic bronchitis,CTV3Map_Code_And_Term
H310.,Simple chronic bronchitis,CTV3Map_Code_And_Term
H3100,Simple chronic bronchitis,CTV3_Children
H310z,Simple chronic bronchitis NOS,CTV3Map_Code_And_Term
H311.,Mucopurulent chronic bronchitis,CTV3Map_Code_And_Term
H3110,Purulent chronic bronchitis,CTV3_Children
H311z,Mucopurulent chronic bronchitis NOS,CTV3Map_Code_And_Term
H3121,Emphysematous bronchitis,CTV3Map_Code_And_Term
H3122,Acute exacerbation of chronic obstructive airways disease,CTV3Map_Code_And_Term
H312z,Obstructive chronic bronchitis NOS,CTV3Map_Code_And_Term
H313.,Mixed simple and mucopurulent chronic bronchitis,CTV3Map_Code_And_Term
H31y.,Other chronic bronchitis,CTV3Map_Code_And_Term
H31y0,Chronic tracheitis,QOF
H31y1,Chronic tracheobronchitis,CTV3Map_Code_And_Term
H31yz,Other chronic bronchitis NOS,CTV3Map_Code_And_Term
H31z.,Chronic bronchitis NOS,CTV3Map_Code_And_Term
H32..,Emphysema,CTV3Map_Code_And_Term
H320.,Chronic bullous emphysema,CTV3Map_Code_And_Term
H3200,Segmental bullous emphysema,CTV3Map_Code_And_Term
