CTV3ID,readterm
XE0X2,(Cereb infarc)(cerebrovas acc)(undef stroke/CVA)(stroke NOS)
X001P,Acute haemorrhagic leucoencephalitis
XaAsJ,Admission to stroke unit
Xa0N7,Angiogram-negative subarachnoid haemorrhage
SP100,Anoxic brain damage complication
G661.,Anterior cerebral artery syndrome
X00DJ,Anterior cerebral circulation haemorrhagic infarction
X00D5,Anterior cerebral circulation infarction
X00DS,Anterior circulation stroke of uncertain pathology
G612.,Basal ganglia haemorrhage
G630.,Basilar artery occlusion
G650.,Basilar artery syndrome
G650.,Basilar artery syndrome
X00DQ,Brainstem haemorrhage
Xa00K,Brainstem infarction
X00D9,Brainstem infarction NOS
X00D9,Brainstem infarction NOS
G663.,Brainstem stroke syndrome
G615.,Bulbar haemorrhage
X00D3,CVA - cerebral artery occlusion
X00D3,CVA - cerebral artery occlusion
G66..,CVA - cerebrovascular accident (& unspecified [& stroke])
G653.,Carotid artery syndrome hemispheric
Xa0Ml,Central post-stroke pain
G64..,Cereb art occl (& [cerebvasc acc][stroke]) or (cereb infarc)
XaIRJ,Cereb autosom dominant arteriop subcort infarcts leukoenceph
G6760,"Cereb infarct due cerebral venous thrombosis, non-pyogenic"
G613.,Cerebellar haemorrhage
Xa00J,Cerebellar infarction
Xa00J,Cerebellar infarction
G664.,Cerebellar stroke syndrome
SP101,Cerebral anoxia complication
XE0VI,Cerebral arterial occlusion
XE0VI,Cerebral arterial occlusion
Xa3fV,Cerebral artery occlusion NOS
G641.,Cerebral embolus
G641.,Cerebral embolus
XM0rV,Cerebral haemorrhage
Xa41Z,Cerebral haemorrhage - birth
XE0Wy,Cerebral haemorrhage NOS
Q2007,Cerebral haemorrhage due to birth injury
S62z.,Cerebral haemorrhage following injury NOS
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
Xa0kZ,Cerebral infarction
Xa0kZ,Cerebral infarction
XE0VJ,Cerebral infarction NOS
XE0VJ,Cerebral infarction NOS
G6410,Cerebral infarction due to embolism of cerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G6400,Cerebral infarction due to thrombosis of cerebral arteries
XE0VF,Cerebral parenchymal haemorrhage
XE0VF,Cerebral parenchymal haemorrhage
G640.,Cerebral thrombosis
