CTV3ID,CTV3PreferredTermDesc,CTV3Source
X301F,Acute drug-induced ulcer of stomach,CTV3_Children
J120.,Acute duodenal ulcer,CTV3Map_Code_And_Term
J120z,Acute duodenal ulcer NOS,CTV3Map_Code_And_Term
J120y,Acute duodenal ulcer unspecified,CTV3Map_Code_And_Term
J1201,Acute duodenal ulcer with haemorrhage,CTV3Map_Code_And_Term
J1203,Acute duodenal ulcer with haemorrhage and perforation,CTV3Map_Code_And_Term
J1204,Acute duodenal ulcer with obstruction,CTV3Map_Code_And_Term
J1202,Acute duodenal ulcer with perforation,CTV3Map_Code_And_Term
J1200,Acute duodenal ulcer without mention of complication,CTV3Map_Code_And_Term
J110.,Acute gastric ulcer,CTV3Map_Code_And_Term
J110z,Acute gastric ulcer NOS,CTV3Map_Code_And_Term
J110y,Acute gastric ulcer unspecified,CTV3Map_Code_And_Term
J1101,Acute gastric ulcer with haemorrhage,CTV3Map_Code_Only
J1101,Acute gastric ulcer with haemorrhage,CTV3Map_Code_And_Term
J1103,Acute gastric ulcer with haemorrhage and perforation,CTV3Map_Code_And_Term
J1104,Acute gastric ulcer with obstruction,CTV3Map_Code_And_Term
J1102,Acute gastric ulcer with perforation,CTV3Map_Code_And_Term
J1100,Acute gastric ulcer without mention of complication,CTV3Map_Code_And_Term
J140.,Acute gastrojejunal ulcer,CTV3Map_Code_And_Term
J140z,Acute gastrojejunal ulcer NOS,CTV3Map_Code_And_Term
J140y,Acute gastrojejunal ulcer unspecified,CTV3_Children
J1401,Acute gastrojejunal ulcer with haemorrhage,CTV3Map_Code_And_Term
J1403,Acute gastrojejunal ulcer with haemorrhage and perforation,CTV3Map_Code_And_Term
J1404,Acute gastrojejunal ulcer with obstruction,CTV3_Children
J1402,Acute gastrojejunal ulcer with perforation,CTV3Map_Code_And_Term
J1400,Acute gastrojejunal ulcer without mention of complication,CTV3Map_Code_And_Term
X301O,Acute haemorrhagic gastritis,High_Level_SNOMED
J130.,Acute peptic ulcer,CTV3Map_Code_And_Term
J130z,Acute peptic ulcer NOS,CTV3Map_Code_And_Term
X302A,Acute peptic ulcer of duodenum,CTV3_Children
X301E,Acute peptic ulcer of stomach,CTV3_Children
J130y,Acute peptic ulcer unspecified,CTV3Map_Code_And_Term
J1301,Acute peptic ulcer with haemorrhage,CTV3Map_Code_And_Term
J1303,Acute peptic ulcer with haemorrhage and perforation,CTV3Map_Code_And_Term
J1304,Acute peptic ulcer with obstruction,CTV3Map_Code_And_Term
J1302,Acute peptic ulcer with perforation,CTV3Map_Code_And_Term
J1300,Acute peptic ulcer without mention of complication,CTV3Map_Code_And_Term
Xa1qA,Anastomotic ulcer,CTV3Map_Code_And_Term
Xa1qA,Anastomotic ulcer,CTV3Map_Code_Only
XaLWs,Anti-platelet induced duodenal ulcer,CTV3Map_Code_And_Term
XaLWt,Anti-platelet induced duodenal ulcer NOS,CTV3_Children
XaLWq,Anti-platelet induced gastric ulcer,CTV3Map_Code_And_Term
XaLWr,Anti-platelet induced gastric ulcer NOS,CTV3Map_Code_And_Term
X300M,Bacterial ulcer of oesophagus,CTV3_Children
J1025,Barrett's ulcer of oesophagus,CTV3Map_Code_And_Term
X30Bh,Bleeding duodenal ulcer,CTV3_Children
XaB1x,Bleeding gastric erosion,High_Level_SNOMED
X30Bg,Bleeding gastric ulcer,CTV3_Children
XaBmb,Bleeding peptic ulcer,High_Level_SNOMED
XaBel,Bleeding stress ulcer of stomach,CTV3_Children
J1023,Chemical ulcer of oesophagus,CTV3Map_Code_And_Term
X301K,Chronic drug-induced ulcer of stomach,CTV3_Children
J121.,Chronic duodenal ulcer,CTV3Map_Code_And_Term
J121z,Chronic duodenal ulcer NOS,CTV3Map_Code_And_Term
J121y,Chronic duodenal ulcer unspecified,CTV3Map_Code_And_Term
